ReadBenchmark
request-count   	100000
concurrency     	1
duration        	23727ms
mean-rate       	4214.40146681063
75%             	0.238272
95%             	0.312124
98%             	0.393499
99%             	0.473577
99.9%           	1.685433

ReadBenchmark
request-count   	100000
concurrency     	4
duration        	7041ms
mean-rate       	14202.164229716762
75%             	0.277834
95%             	0.361493
98%             	0.497175
99%             	0.605354
99.9%           	3.175163

ReadBenchmark
request-count   	100000
concurrency     	16
duration        	6124ms
mean-rate       	16328.238775282593
75%             	0.969806
95%             	1.047738
98%             	1.188225
99%             	1.464065
99.9%           	5.108218

ReadBenchmark
request-count   	100000
concurrency     	64
duration        	6122ms
mean-rate       	16334.045902764585
75%             	3.844325
95%             	4.209867
98%             	5.266212
99%             	7.871337
99.9%           	21.906809

ReadBenchmark
request-count   	100000
concurrency     	128
duration        	6120ms
mean-rate       	16339.292722937795
75%             	7.640748
95%             	8.884596
98%             	9.721567
99%             	10.369229
99.9%           	46.124759

