ReadBenchmark
request-count   	100000
concurrency     	1
duration        	138297ms
mean-rate       	723.0803215200601
75%             	1.414878
95%             	1.682967
98%             	1.790868
99%             	2.93154
99.9%           	8.381475

ReadBenchmark
request-count   	100000
concurrency     	4
duration        	101425ms
mean-rate       	985.9426806548873
75%             	4.388593
95%             	5.550289
98%             	6.458717
99%             	6.978378
99.9%           	12.016477

ReadBenchmark
request-count   	100000
concurrency     	16
duration        	100439ms
mean-rate       	995.6269182117894
75%             	16.620437
95%             	20.397619
98%             	21.450842
99%             	23.164639
99.9%           	29.615026

ReadBenchmark
request-count   	100000
concurrency     	64
duration        	100345ms
mean-rate       	996.5558296563707
75%             	66.067903
95%             	79.857936
98%             	83.170407
99%             	87.115404
99.9%           	126.662215

ReadBenchmark
request-count   	100000
concurrency     	128
duration        	101662ms
mean-rate       	983.6481377963717
75%             	137.640067
95%             	162.413793
98%             	186.219789
99%             	205.274479
99.9%           	248.592842

