ReadBenchmark
request-count   	100000
concurrency     	1
duration        	15500ms
mean-rate       	6451.172080902765
75%             	0.163219
95%             	0.204559
98%             	0.224935
99%             	0.246096
99.9%           	0.30265

ReadBenchmark
request-count   	100000
concurrency     	4
duration        	5292ms
mean-rate       	18894.25210002385
75%             	0.219167
95%             	0.285756
98%             	0.324679
99%             	0.366306
99.9%           	0.733896

ReadBenchmark
request-count   	100000
concurrency     	16
duration        	4580ms
mean-rate       	21829.998782318304
75%             	0.700427
95%             	0.933141
98%             	1.160219
99%             	1.442715
99.9%           	10.462769

ReadBenchmark
request-count   	100000
concurrency     	64
duration        	4801ms
mean-rate       	20826.67069914331
75%             	3.196557
95%             	4.440019
98%             	11.039034
99%             	12.323562
99.9%           	13.094326

ReadBenchmark
request-count   	100000
concurrency     	128
duration        	4976ms
mean-rate       	20095.44381681314
75%             	6.674203
95%             	11.338047
98%             	14.975062
99%             	15.628354
99.9%           	17.331701

